,method,bias,rmse,estimate,ci_cov,power,n,sig_u,ba,aw,bw,mis
24.6,RC,0.022331739,0.022331739,-0.499888341,96,100,1000,0.75,-0.5,0.5,0.5,out-mis
24.7,SIMEX,16.83702262,16.83702262,-0.415814887,36.6,100,1000,0.75,-0.5,0.5,0.5,out-mis
25.1,CV,-0.698034183,0.698034183,-0.503490171,89,100,1000,0.9,-0.5,0.5,0.5,out-mis
25.2,IV,-1.616001814,1.616001814,-0.508080009,96,73.6,1000,0.9,-0.5,0.5,0.5,out-mis
25.3,Ideal,-0.052837888,0.052837888,-0.500264189,90,100,1000,0.9,-0.5,0.5,0.5,out-mis
25.4,MIME,12.48325731,12.48325731,-0.437583713,80.8,100,1000,0.9,-0.5,0.5,0.5,out-mis
25.5,Naive,43.69305921,43.69305921,-0.281534704,0,100,1000,0.9,-0.5,0.5,0.5,out-mis
25.6,RC,0.384978313,0.384978313,-0.498075108,94.6,100,1000,0.9,-0.5,0.5,0.5,out-mis
25.7,SIMEX,25.57187813,25.57187813,-0.372140609,7.6,100,1000,0.9,-0.5,0.5,0.5,out-mis
26.1,CV,0.243654202,0.243654202,1.002436542,88.86554622,100,1000,0.1,1,0.5,0.5,out-mis
26.2,IV,0.163793521,0.163793521,1.001637935,96.2,99.6,1000,0.1,1,0.5,0.5,out-mis
26.3,Ideal,0.159973254,0.159973254,1.001599733,93,100,1000,0.1,1,0.5,0.5,out-mis
26.4,MIME,-1.275374008,1.275374008,0.84724626,93,100,1000,0.1,1,0.5,0.5,out-mis
26.5,Naive,-0.724676132,0.724676132,0.992753239,93.4,100,1000,0.1,1,0.5,0.5,out-mis
26.6,RC,0.265890356,0.265890356,1.002658904,95.4,100,1000,0.1,1,0.5,0.5,out-mis
26.7,SIMEX,0.19653767,0.19653767,1.001965377,93.6,100,1000,0.1,1,0.5,0.5,out-mis
27.1,CV,-0.161849002,0.161849002,0.99838151,90.08264463,100,1000,0.25,1,0.5,0.5,out-mis
27.2,IV,-0.003769626,0.003769626,0.999962304,95.2,99.4,1000,0.25,1,0.5,0.5,out-mis
27.3,Ideal,-0.154078307,0.154078307,0.998459217,93.6,100,1000,0.25,1,0.5,0.5,out-mis
27.4,MIME,-1.861694696,1.861694696,0.981383053,91.2,100,1000,0.25,1,0.5,0.5,out-mis
27.5,Naive,-5.779439232,5.779439232,0.942205608,59.4,100,1000,0.25,1,0.5,0.5,out-mis
27.6,RC,-0.187922808,0.187922808,0.998120772,95.4,100,1000,0.25,1,0.5,0.5,out-mis
