"","method","bias","mse","ATE","ci_cov","power","u","a","n","b","rho","psi","ax","bax","baz"
"22.1","IV",-1.10749645507466,1.22654839800293,0.0988925035449253,95.2,100,0.25,0.1,3000,1,0.1,0.5,0.25,0,0
"22.2","Ideal",-1.20227208858652,1.44545817499419,0.0987977279114135,94.8,100,0.25,0.1,3000,1,0.1,0.5,0.25,0,0
"22.3","MIME",-1.71785156765558,2.95101400849673,0.0982821484323444,94,100,0.25,0.1,3000,1,0.1,0.5,0.25,0,0
"22.4","Naive",1.6308986811345,2.65983050812626,0.101630898681135,94.8,100,0.25,0.1,3000,1,0.1,0.5,0.25,0,0
"22.5","PSC",-0.24023466577026,0.0577126946377485,0.0997597653342297,32,100,0.25,0.1,3000,1,0.1,0.5,0.25,0,0
"22.6","SIMEX dir.",-8.66849552153858,75.1428146069345,0.0913315044784614,91.6,99.6,0.25,0.1,3000,1,0.1,0.5,0.25,0,0
"23.1","IV",1.03188931985697,1.06479556843489,0.101031889319857,91.6,100,0.5,0.1,3000,1,0.1,0.5,0.25,0,0
"23.2","Ideal",0.884334548524559,0.782047593714136,0.100884334548525,93.6,100,0.5,0.1,3000,1,0.1,0.5,0.25,0,0
"23.3","MIME",-0.0557284130798053,0.00310565602439342,0.0999442715869202,90.8,100,0.5,0.1,3000,1,0.1,0.5,0.25,0,0
"23.4","Naive",10.0339113744744,100.679377470806,0.110033911374474,90.8,100,0.5,0.1,3000,1,0.1,0.5,0.25,0,0
"23.5","PSC",4.50249731315025,20.2724820549252,0.10450249731315,38,100,0.5,0.1,3000,1,0.1,0.5,0.25,0,0
"23.6","SIMEX dir.",-4.01561002238394,16.1251238518704,0.0959843899776161,93.6,100,0.5,0.1,3000,1,0.1,0.5,0.25,0,0
"24.1","IV",1.88391179227784,3.54912364108349,0.101883911792278,91.6,99.6,0.75,0.1,3000,1,0.1,0.5,0.25,0,0
"24.2","Ideal",1.5425226666086,2.3793761770013,0.101542522666609,93.2,100,0.75,0.1,3000,1,0.1,0.5,0.25,0,0
"24.3","MIME",0.855157466262253,0.731294292104077,0.100855157466262,86.8,99.2,0.75,0.1,3000,1,0.1,0.5,0.25,0,0
"24.4","Naive",17.6870645197106,312.832251324404,0.117687064519711,82.8,100,0.75,0.1,3000,1,0.1,0.5,0.25,0,0
"24.5","PSC",9.63856416335337,92.9019191310799,0.109638564163353,32,100,0.75,0.1,3000,1,0.1,0.5,0.25,0,0
"24.6","SIMEX dir.",4.83410071173727,23.3685296912187,0.104834100711737,90.8,100,0.75,0.1,3000,1,0.1,0.5,0.25,0,0
"25.1","IV",0.663744808723292,0.440557171107119,0.100663744808723,93.6,100,0.9,0.1,3000,1,0.1,0.5,0.25,0,0
"25.2","Ideal",0.899634041680853,0.809341408951027,0.100899634041681,93.2,100,0.9,0.1,3000,1,0.1,0.5,0.25,0,0
"25.3","MIME",-0.236141255790662,0.0557626926863909,0.0997638587442093,89.6,99.6,0.9,0.1,3000,1,0.1,0.5,0.25,0,0
"25.4","Naive",21.2523245166578,451.661297361336,0.121252324516658,76.8,100,0.9,0.1,3000,1,0.1,0.5,0.25,0,0
"25.5","PSC",11.5318352408139,132.983224021277,0.111531835240814,29.6,99.6,0.9,0.1,3000,1,0.1,0.5,0.25,0,0
